"","batch","plate_well","count","run_no","contrast"
"367",2,"700 L16,702 J16,704 N08",11,124,"RC_to_SA"
"368",3,"612 J08,614 I08,618 N16",4,124,"RC_to_SA"
"369",1,"708 K08,710 K24,712 I16",74,125,"RC_to_SA"
"370",2,"700 M16,702 L08,704 I08",6,125,"RC_to_SA"
"371",3,"612 K08,614 J24,618 K16",111,125,"RC_to_SA"
"372",1,"708 K08,710 M16,712 L08",44,126,"RC_to_SA"
"373",2,"700 I16,702 K08,704 J16",12,126,"RC_to_SA"
"374",3,"612 I08,614 K24,618 P08",10,126,"RC_to_SA"
"375",1,"708 P08,710 P16,712 N16",3,127,"RC_to_SA"
"376",2,"700 L24,702 J08,704 P16",42,127,"RC_to_SA"
"377",3,"612 N16,614 O16,618 N24",55,127,"RC_to_SA"
"378",1,"708 K16,710 K16,712 M08",12,128,"RC_to_SA"
"379",2,"700 L16,702 M08,704 I24",222,128,"RC_to_SA"
"380",3,"612 P16,614 K16,618 K16",20,128,"RC_to_SA"
"381",1,"708 O16,710 M24,712 O16",15,129,"RC_to_SA"
"382",2,"700 P08,702 N24,704 I08",20,129,"RC_to_SA"
"383",3,"612 N08,614 P16,618 K24",29,129,"RC_to_SA"
"384",1,"708 N08,710 J08,712 I08",10,130,"RC_to_SA"
"385",2,"700 J24,702 I24,704 P24",65,130,"RC_to_SA"
"386",3,"612 I08,614 N08,618 M24",43,130,"RC_to_SA"
"387",1,"708 I24,710 P16,712 P16",6,131,"RC_to_SA"
"388",2,"700 M16,702 I24,704 I24",206,131,"RC_to_SA"
"389",3,"612 O08,614 P24,618 K24",98,131,"RC_to_SA"
"390",1,"708 M08,710 M08,712 N16",29,132,"RC_to_SA"
"391",2,"700 P08,702 K24,704 O24",36,132,"RC_to_SA"
"392",3,"612 I16,614 P16,618 J08",4,132,"RC_to_SA"
"393",1,"708 N24,710 I08,712 N08",15,133,"RC_to_SA"
"394",2,"700 J16,702 I08,704 M16",5,133,"RC_to_SA"
"395",3,"612 J08,614 P08,618 I08",6,133,"RC_to_SA"
"396",1,"708 P16,710 M24,712 O08",12,134,"RC_to_SA"
"397",2,"700 I16,702 P24,704 M08",19,134,"RC_to_SA"
