"","batch","plate_well","count","run_no","contrast"
"289",2,"700 L16,702 L16,704 L16",14,100,"RC_to_SA"
"290",3,"612 P24,614 J16,618 I16",6,100,"RC_to_SA"
"291",1,"708 J24,710 O16,712 P24",9,101,"RC_to_SA"
"292",2,"700 L08,702 J24,704 I16",16,101,"RC_to_SA"
"293",3,"612 M16,614 L08,618 P16",3,101,"RC_to_SA"
"294",1,"708 M24,710 L08,712 M24",24,102,"RC_to_SA"
"295",2,"700 P08,702 N24,704 N16",5,102,"RC_to_SA"
"296",3,"612 K24,614 J16,618 K16",67,102,"RC_to_SA"
"297",1,"708 O08,710 N08,712 I08",4,103,"RC_to_SA"
"298",2,"700 P08,702 K16,704 L08",6,103,"RC_to_SA"
"299",3,"612 N08,614 M16,618 L08",4,103,"RC_to_SA"
"300",1,"708 N24,710 J16,712 L16",31,104,"RC_to_SA"
"301",2,"700 M08,702 K16,704 K08",18,104,"RC_to_SA"
"302",3,"612 J16,614 K16,618 L08",16,104,"RC_to_SA"
"303",1,"708 P24,710 M24,712 O08",18,105,"RC_to_SA"
"304",2,"700 M24,702 J16,704 L08",1,105,"RC_to_SA"
"305",3,"612 M08,614 O08,618 I08",4,105,"RC_to_SA"
"306",1,"708 O24,710 L16,712 M08",4,106,"RC_to_SA"
"307",2,"700 O16,702 N08,704 P16",2,106,"RC_to_SA"
"308",3,"612 O08,614 I16,618 P08",3,106,"RC_to_SA"
"309",1,"708 I08,710 I16,712 M16",3,107,"RC_to_SA"
"310",2,"700 N08,702 N16,704 O16",3,107,"RC_to_SA"
"311",3,"612 N16,614 O24,618 J24",186,107,"RC_to_SA"
"312",1,"708 L16,710 N16,712 J08",11,108,"RC_to_SA"
"313",2,"700 M08,702 P16,704 I16",3,108,"RC_to_SA"
"314",3,"612 N16,614 M08,618 I08",6,108,"RC_to_SA"
"315",1,"708 M24,710 P16,712 M24",18,109,"RC_to_SA"
"316",2,"700 L08,702 M16,704 M16",9,109,"RC_to_SA"
"317",3,"612 K08,614 L16,618 K16",34,109,"RC_to_SA"
"318",1,"708 P24,710 M08,712 I24",12,110,"RC_to_SA"
"319",2,"700 O16,702 M16,704 J16",8,110,"RC_to_SA"
"320",3,"612 I08,614 O08,618 I08",2,110,"RC_to_SA"
"321",1,"708 K16,710 M08,712 O08",15,111,"RC_to_SA"
"322",2,"700 N24,702 N24,704 O16",13,111,"RC_to_SA"
"323",3,"612 K24,614 P24,618 K16",147,111,"RC_to_SA"
"324",2,"700 I24,702 I24,704 L16",9,112,"RC_to_SA"
"325",3,"612 I24,614 O08,618 L16",28,112,"RC_to_SA"
"326",1,"708 I16,710 N16,712 M24",2,113,"RC_to_SA"
"327",2,"700 M24,702 P16,704 K16",10,113,"RC_to_SA"
"328",3,"612 I16,614 L08,618 I16",10,113,"RC_to_SA"
"329",1,"708 K16,710 O16,712 K08",15,114,"RC_to_SA"
"330",2,"700 L16,702 K08,704 N16",6,114,"RC_to_SA"
"331",3,"612 J16,614 N16,618 J08",27,114,"RC_to_SA"
"332",1,"708 N24,710 I08,712 I16",7,115,"RC_to_SA"
"333",2,"700 N24,702 P16,704 J08",9,115,"RC_to_SA"
"334",3,"612 J24,614 J16,618 J24",175,115,"RC_to_SA"
"335",1,"708 K16,710 L08,712 O16",9,116,"RC_to_SA"
"336",2,"700 P08,702 J24,704 K16",16,116,"RC_to_SA"
"337",3,"612 P24,614 O24,618 O08",66,116,"RC_to_SA"
"338",1,"708 P16,710 M24,712 J16",7,117,"RC_to_SA"
"339",2,"700 L08,702 L16,704 P16",3,117,"RC_to_SA"
"340",3,"612 N08,614 J16,618 K16",6,117,"RC_to_SA"
"341",1,"708 P24,710 J08,712 K24",13,118,"RC_to_SA"
"342",2,"700 M24,702 J24,704 I16",23,118,"RC_to_SA"
"343",3,"612 J16,614 K08,618 O08",7,118,"RC_to_SA"
"344",1,"708 N08,710 J08,712 O16",3,119,"RC_to_SA"
"345",2,"700 M16,702 M16,704 P24",12,119,"RC_to_SA"
"346",1,"708 O08,710 K08,712 J08",1,120,"RC_to_SA"
"347",2,"700 K08,702 O24,704 N16",7,120,"RC_to_SA"
"348",3,"612 O24,614 K08,618 I16",28,120,"RC_to_SA"
"349",1,"708 N24,710 M24,712 P24",55,121,"RC_to_SA"
"350",2,"700 O16,702 O08,704 J08",4,121,"RC_to_SA"
"351",3,"612 I24,614 M08,618 J08",25,121,"RC_to_SA"
"352",1,"708 I16,710 I16,712 I24",4,122,"RC_to_SA"
"353",2,"700 P24,702 M08,704 J08",24,122,"RC_to_SA"
"354",3,"612 N08,614 I08,618 O08",3,122,"RC_to_SA"
"355",1,"708 M24,710 N16,712 O16",4,123,"RC_to_SA"
"356",2,"700 O08,702 K24,704 I08",2,123,"RC_to_SA"
"357",3,"612 J16,614 M16,618 P16",2,123,"RC_to_SA"
"358",1,"708 L16,710 L08,712 P24",12,124,"RC_to_SA"
"359",2,"700 L16,702 J24,704 L08",17,124,"RC_to_SA"
"360",3,"612 J16,614 O08,618 I08",3,124,"RC_to_SA"
"361",1,"708 M08,710 I16,712 K24",7,125,"RC_to_SA"
"362",2,"700 P08,702 J08,704 J16",3,125,"RC_to_SA"
"363",3,"612 N24,614 P24,618 M08",50,125,"RC_to_SA"
"364",1,"708 I16,710 K16,712 J24",14,126,"RC_to_SA"
"365",2,"700 M16,702 K24,704 N16",3,126,"RC_to_SA"
"366",3,"612 O08,614 P24,618 P16",5,126,"RC_to_SA"
"367",1,"708 J16,710 J16,712 O24",4,127,"RC_to_SA"
"368",3,"612 L08,614 O24,618 K16",110,127,"RC_to_SA"
"369",1,"708 I08,710 P16,712 J16",6,128,"RC_to_SA"
"370",2,"700 P08,702 L16,704 J16",10,128,"RC_to_SA"
"371",3,"612 L16,614 J16,618 N16",25,128,"RC_to_SA"
"372",1,"708 J24,710 M08,712 O16",2,129,"RC_to_SA"
"373",2,"700 O08,702 J16,704 P24",14,129,"RC_to_SA"
"374",3,"612 N08,614 O24,618 L08",29,129,"RC_to_SA"
"375",1,"708 P24,710 M24,712 M08",17,130,"RC_to_SA"
"376",2,"700 M16,702 P16,704 N08",4,130,"RC_to_SA"
"377",3,"612 I24,614 M16,618 J08",6,130,"RC_to_SA"
"378",1,"708 J08,710 L08,712 K16",18,131,"RC_to_SA"
"379",2,"700 I24,702 N24,704 K16",12,131,"RC_to_SA"
"380",3,"612 L16,614 J08,618 I16",16,131,"RC_to_SA"
"381",1,"708 J24,710 N16,712 O24",17,132,"RC_to_SA"
"382",2,"700 I16,702 P24,704 I16",7,132,"RC_to_SA"
"383",3,"612 K08,614 K16,618 I08",14,132,"RC_to_SA"
"384",1,"708 O08,710 P16,712 N16",2,133,"RC_to_SA"
"385",2,"700 L08,702 N24,704 I16",12,133,"RC_to_SA"
"386",3,"612 O08,614 O24,618 L08",21,133,"RC_to_SA"
"387",1,"708 P24,710 M08,712 M08",3,134,"RC_to_SA"
"388",2,"700 N24,702 K08,704 I08",21,134,"RC_to_SA"
"389",3,"612 O08,614 K08,618 P08",5,134,"RC_to_SA"
"390",1,"708 P24,710 I16,712 K08",7,135,"RC_to_SA"
"391",2,"700 I24,702 N16,704 I08",13,135,"RC_to_SA"
"392",3,"612 K08,614 I16,618 M08",14,135,"RC_to_SA"
"393",2,"700 N08,702 K16,704 I08",17,136,"RC_to_SA"
"394",1,"708 M24,710 N08,712 N08",12,137,"RC_to_SA"
"395",2,"700 O16,702 P24,704 L16",13,137,"RC_to_SA"
"396",1,"708 M24,710 I08,712 K16",22,138,"RC_to_SA"
"397",2,"700 K16,702 M24,704 M16",15,138,"RC_to_SA"
